NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
SE-91,0.000e+00,5.089e-11,5.211e-11,5.211e-11,5.210e-11,5.210e-11,5.208e-11,5.206e-11,5.129e-11,4.810e-11,4.585e-11,4.519e-11
SE-92,0.000e+00,1.251e-12,1.332e-12,1.332e-12,1.332e-12,1.332e-12,1.332e-12,1.332e-12,1.319e-12,1.274e-12,1.273e-12,1.326e-12
SE-93,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BR-79,0.000e+00,7.218e-17,1.005e-15,7.802e-15,8.246e-14,5.010e-13,5.564e-12,1.538e-11,4.831e-10,1.005e-08,3.854e-08,7.597e-08
BR-79M,0.000e+00,6.605e-17,3.776e-16,4.973e-16,4.969e-16,4.969e-16,4.973e-16,5.003e-16,6.860e-16,1.688e-15,2.827e-15,3.843e-15
BR-80,0.000e+00,1.908e-14,1.903e-13,1.124e-12,9.545e-12,2.810e-11,4.596e-11,5.007e-11,5.134e-11,5.714e-11,6.498e-11,7.320e-11
BR-80M,0.000e+00,1.440e-14,1.440e-13,8.632e-13,8.531e-12,4.800e-11,2.617e-10,3.231e-10,3.438e-10,4.192e-10,5.120e-10,6.017e-10
BR-81,0.000e+00,4.968e-13,1.714e-11,2.790e-09,9.816e-07,2.322e-05,3.808e-04,9.413e-04,9.569e-03,4.754e-02,9.395e-02,1.319e-01
BR-82,0.000e+00,3.128e-12,3.159e-11,1.996e-10,2.768e-09,2.255e-08,2.373e-07,5.537e-07,4.668e-06,2.444e-05,5.376e-05,8.818e-05
BR-82M,0.000e+00,3.815e-12,3.783e-11,2.166e-10,1.372e-09,2.034e-09,2.227e-09,2.525e-09,7.213e-09,2.970e-08,6.489e-08,1.064e-07
BR-83,0.000e+00,2.140e-10,4.614e-09,1.882e-07,9.528e-06,7.339e-05,3.294e-04,3.510e-04,3.514e-04,3.313e-04,3.171e-04,3.127e-04
BR-84,0.000e+00,1.024e-09,1.662e-08,3.459e-07,1.770e-05,1.013e-04,1.502e-04,1.501e-04,1.479e-04,1.390e-04,1.326e-04,1.303e-04
BR-84M,0.000e+00,1.011e-09,1.002e-08,5.732e-08,3.599e-07,5.249e-07,5.251e-07,5.250e-07,5.206e-07,5.075e-07,5.047e-07,5.138e-07
BR-85,0.000e+00,9.821e-09,1.551e-07,2.024e-06,1.451e-05,1.702e-05,1.701e-05,1.700e-05,1.675e-05,1.574e-05,1.499e-05,1.472e-05
BR-86,0.000e+00,1.662e-08,2.145e-07,1.726e-06,4.035e-06,4.164e-06,4.161e-06,4.160e-06,4.097e-06,3.842e-06,3.652e-06,3.577e-06
BR-86M,0.000e+00,1.597e-08,1.258e-07,3.275e-07,3.433e-07,3.432e-07,3.430e-07,3.429e-07,3.377e-07,3.167e-07,3.010e-07,2.948e-07
BR-87,0.000e+00,6.889e-08,8.451e-07,4.877e-06,9.654e-06,9.724e-06,9.719e-06,9.715e-06,9.569e-06,8.973e-06,8.528e-06,8.354e-06
BR-88,0.000e+00,1.214e-07,1.113e-06,3.030e-06,3.304e-06,3.304e-06,3.302e-06,3.301e-06,3.249e-06,3.040e-06,2.880e-06,2.813e-06
BR-89,0.000e+00,9.761e-08,5.498e-07,6.999e-07,6.997e-07,6.996e-07,6.992e-07,6.990e-07,6.878e-07,6.418e-07,6.061e-07,5.903e-07
BR-90,0.000e+00,5.828e-08,1.659e-07,1.681e-07,1.681e-07,1.681e-07,1.680e-07,1.680e-07,1.653e-07,1.540e-07,1.452e-07,1.411e-07
BR-91,0.000e+00,1.362e-08,1.991e-08,1.991e-08,1.991e-08,1.991e-08,1.990e-08,1.989e-08,1.957e-08,1.825e-08,1.723e-08,1.679e-08
BR-92,0.000e+00,4.705e-10,5.226e-10,5.226e-10,5.226e-10,5.226e-10,5.223e-10,5.222e-10,5.149e-10,4.856e-10,4.677e-10,4.672e-10
BR-93,0.000e+00,8.167e-11,8.436e-11,8.436e-11,8.436e-11,8.436e-11,8.432e-11,8.429e-11,8.302e-11,7.784e-11,7.422e-11,7.325e-11
BR-94,0.000e+00,3.357e-12,3.364e-12,3.364e-12,3.364e-12,3.364e-12,3.362e-12,3.361e-12,3.312e-12,3.114e-12,2.983e-12,2.960e-12
BR-95,0.000e+00,1.053e-13,1.056e-13,1.056e-13,1.056e-13,1.056e-13,1.055e-13,1.055e-13,1.047e-13,1.015e-13,1.023e-13,1.075e-13
BR-96,0.000e+00,3.666e-15,3.666e-15,3.666e-15,3.666e-15,3.666e-15,3.665e-15,3.666e-15,3.639e-15,3.550e-15,3.607e-15,3.816e-15
KR-78,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
